expedition_id,mean_age,member_count
ACHN15301,22.4,5
ACHN15302,49.091,11
ACHN18301,44.333,9
AMAD00101,30.6,5
AMAD00102,38.8,5
AMAD00103,39.75,4
AMAD00104,33.167,6
AMAD00105,40.25,4
AMAD00106,36,2
AMAD00107,40.25,4
AMAD00108,35.5,2
AMAD00109,37.333,6
AMAD00110,34.1,10
AMAD00111,25.5,6
AMAD00112,39,5
AMAD00301,37.167,6
AMAD00302,35.625,8
AMAD00303,27.5,2
AMAD00304,42,2
AMAD00305,51,9
AMAD00306,42,2
AMAD00307,35.25,4
AMAD00308,22,1
AMAD00309,27.5,4
AMAD00310,37.25,4
AMAD00311,31,2
AMAD00312,29.25,4
AMAD00313,34.167,6
AMAD00314,41.769,13
AMAD00315,38,12
AMAD00316,25.5,2
AMAD00317,42,1
AMAD00318,36.364,11
AMAD00319,44.25,4
AMAD00320,24,1
AMAD00321,35.5,2
AMAD00322,37,7
AMAD00323,41.5,6
AMAD00324,35.5,2
AMAD00325,36.167,6
AMAD00401,37.444,9
AMAD00402,34.5,8
AMAD00403,34.4,15
AMAD01101,32.8,5
AMAD01102,39.333,3
AMAD01103,31.571,7
AMAD01104,35.429,7
AMAD01105,39,2
AMAD01106,34.333,6
AMAD01301,25,8
AMAD01302,41.667,6
AMAD01303,31,7
AMAD01304,35.833,6
AMAD01305,41.857,7
AMAD01306,27,2
AMAD01307,33.286,14
AMAD01308,35,3
AMAD01309,38.5,4
AMAD01310,34.875,8
AMAD01311,39.778,18
AMAD01312,50,5
AMAD01313,31.429,7
AMAD01314,32.333,6
AMAD01315,37.5,4
AMAD01316,38.5,6
AMAD01317,33.667,3
AMAD01401,42,10
AMAD01402,36,4
AMAD02101,37.667,3
AMAD02102,35.714,7
AMAD02103,43.333,3
AMAD02104,29.667,3
AMAD02301,35.6,5
AMAD02302,34.25,8
AMAD02303,36.364,11
AMAD02304,34.5,4
AMAD02305,37.143,7
AMAD02306,38.833,12
AMAD02307,43.667,3
AMAD02308,43,2
AMAD02309,30.286,7
AMAD02310,39.083,12
AMAD02311,36,4
AMAD02312,49,2
AMAD02313,35.167,6
AMAD02314,38,5
AMAD02315,38,4
AMAD02316,29,1
AMAD02317,47.333,3
AMAD02318,47.143,7
AMAD02319,34,3
AMAD02320,39.333,18
AMAD02321,38.967,30
AMAD02401,44.5,4
AMAD02402,35,3
AMAD02403,38.571,7
AMAD02404,36.143,7
AMAD02405,37.667,3
AMAD03101,42.8,5
AMAD03102,38,5
AMAD03103,32.5,2
AMAD03104,35.75,4
AMAD03105,31.833,6
AMAD03106,36.333,3
AMAD03107,39.4,5
AMAD03108,34.222,9
AMAD03301,33,6
AMAD03302,38.167,6
AMAD03303,36.444,9
AMAD03304,47.5,2
AMAD03305,34.571,7
AMAD03306,44,8
AMAD03307,41,13
AMAD03308,50.333,3
AMAD03309,32,6
AMAD03310,38.5,6
AMAD03311,34,1
AMAD03312,44.188,16
AMAD03313,37.75,4
AMAD03314,37,9
AMAD03315,73,1
AMAD03316,38.857,7
AMAD03317,42,1
AMAD03318,48.5,4
AMAD03319,29.667,3
AMAD03320,40.167,12
AMAD03321,33.5,12
AMAD03322,39.6,5
AMAD03323,37.25,4
AMAD03324,32,2
AMAD03325,40.25,4
AMAD03326,25,3
AMAD03327,25.833,6
AMAD03328,34.655,29
AMAD03401,31.667,6
AMAD03402,37.5,8
AMAD03403,33.667,3
AMAD04101,32.6,5
AMAD04102,73,1
AMAD04103,39,2
AMAD04104,32,3
AMAD04105,40.25,4
AMAD04106,39,2
AMAD04107,26,2
AMAD04108,39.75,4
AMAD04109,32.833,6
AMAD04110,44.857,21
AMAD04301,38,1
AMAD04302,43.5,4
AMAD04303,38.5,4
AMAD04304,49,4
AMAD04305,33.625,8
AMAD04306,46.111,9
AMAD04307,39.75,8
AMAD04308,41,2
AMAD04309,53,2
AMAD04310,51.5,2
AMAD04311,36.5,4
AMAD04312,44.5,8
AMAD04313,27.75,8
AMAD04314,34,4
AMAD04315,34,3
AMAD04316,36.909,11
AMAD04317,37.167,6
AMAD04318,41,1
AMAD04319,33,7
AMAD04320,37.917,12
AMAD04321,44,9
AMAD04322,32.5,2
AMAD04323,34.5,2
AMAD04324,60,1
AMAD04325,41,4
AMAD04326,44.143,7
AMAD04327,49.429,7
AMAD04328,41.344,32
AMAD04329,44.857,7
AMAD04330,46.9,10
AMAD04331,34,18
AMAD04332,37.867,15
AMAD04333,40.778,9
AMAD04334,44.333,3
AMAD04335,31.5,4
AMAD04336,41.333,6
AMAD04337,35.667,3
AMAD04338,36.513,39
AMAD04339,42.333,3
AMAD04340,25,1
AMAD04341,36.5,2
AMAD04401,43.8,5
AMAD04402,31.615,13
AMAD04403,53,4
AMAD04404,30.4,20
AMAD05101,38,3
AMAD05102,41.833,6
AMAD05103,42,3
AMAD05104,74,1
AMAD05105,39.5,2
AMAD05106,28,2
AMAD05107,39,2
AMAD05108,46,1
AMAD05109,28,1
AMAD05301,38,2
AMAD05302,42.5,4
AMAD05303,42.571,14
AMAD05304,49.867,15
AMAD05305,46,5
AMAD05306,38,3
